s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_GEOM,Q_ENTH,Q_TOTAL,MLR_FUEL,MLR_TOTAL
 0.0000000E+000, 0.0000000E+000,-8.0996608E-001,-4.3266538E-006, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-8.0997040E-001, 0.0000000E+000, 0.0000000E+000
 1.0206207E+000, 1.3223356E-001,-4.4154689E-002, 3.3198851E-004,-1.1500706E-004,-1.6679039E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.2088911E-002, 8.8279171E-002, 6.8489026E-006, 6.8489026E-006
 2.0412414E+000, 5.3375443E-001,-1.6306203E-002,-1.8462109E-003,-2.0093019E-003,-4.6706553E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.7667526E-001, 5.1354601E-001, 1.9951151E-005, 1.9951151E-005
 3.0618622E+000, 8.6473657E-001,-7.1780704E-003, 5.7421773E-003,-8.0767021E-003,-8.1505561E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.4047802E-001, 8.5514247E-001, 3.2160064E-005, 3.2160064E-005
 4.0824828E+000, 1.1301380E+000,-5.4930242E-003, 4.6306145E-003,-1.4052846E-002,-1.1686038E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.0969704E+000, 1.1151059E+000, 4.4964534E-005, 4.4964534E-005
 5.0010414E+000, 1.4369312E+000,-6.5540606E-003, 1.2156903E-003,-1.4856808E-002,-1.4833934E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.4065846E+000, 1.4165877E+000, 5.6908756E-005, 5.6908756E-005
 6.0216622E+000, 1.7604845E+000,-8.6013402E-003, 7.7727168E-003,-1.3630637E-002,-1.8015262E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 1.7315782E+000, 1.7458450E+000, 6.9084583E-005, 6.9084583E-005
 7.0422831E+000, 2.1117181E+000,-1.1443211E-002, 8.6260214E-003,-1.4940196E-002,-2.1264571E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.0852872E+000, 2.0937481E+000, 8.1591274E-005, 8.1591274E-005
 8.0629034E+000, 2.4608140E+000,-1.5017098E-002, 6.6940569E-003,-2.0250393E-002,-2.4570991E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.4299593E+000, 2.4319948E+000, 9.4395745E-005, 9.4395745E-005
 9.0835247E+000, 2.7916953E+000,-1.9473042E-002, 1.0687147E-002,-2.5386119E-002,-2.7826523E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7607944E+000, 2.7572450E+000, 1.0690244E-004, 1.0690244E-004
 1.0002083E+001, 3.1038555E+000,-2.3693514E-002, 9.1132142E-003,-2.6254016E-002,-3.1011363E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0692450E+000, 3.0627110E+000, 1.1911135E-004, 1.1911135E-004
 1.1022704E+001, 3.4429866E+000,-6.5335795E-001, 3.3966548E-003,-2.6395771E-002,-3.4172643E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.8770661E+000, 2.7662879E+000, 1.3132026E-004, 1.3132026E-004
 1.2043324E+001, 3.7815567E+000,-1.0344752E+000,-3.3601960E-003,-2.3366922E-002,-3.7326125E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 2.7262343E+000, 2.7199811E+000, 1.4352918E-004, 1.4352918E-004
 1.3063946E+001, 4.1212288E+000,-1.0216029E+000,-4.9911875E-003,-2.4127658E-002,-4.0635042E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.0890699E+000, 3.0701007E+000, 1.5633365E-004, 1.5633365E-004
 1.4084566E+001, 4.4597946E+000,-1.0264605E+000, 1.3635137E-002,-2.5976752E-002,-4.3948224E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.4266384E+000, 3.4205530E+000, 1.6913812E-004, 1.6913812E-004
 1.5003124E+001, 4.7840624E+000,-1.0618553E+000, 4.1406625E-002,-2.7585050E-002,-4.7103357E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.7200518E+000, 3.7355577E+000, 1.8131394E-004, 1.8131394E-004
 1.6023745E+001, 5.1036039E+000,-1.1134647E+000, 3.8819207E-002,-2.9107651E-002,-5.0118036E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 3.9986019E+000, 3.9993495E+000, 1.9296039E-004, 1.9296039E-004
 1.7044367E+001, 5.4423038E+000,-1.1807308E+000, 4.0912752E-002,-3.0834095E-002,-5.3429640E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.2782797E+000, 4.2711173E+000, 2.0576486E-004, 2.0576486E-004
 1.8064987E+001, 5.7818674E+000,-1.2514303E+000, 6.6287813E-004,-3.2531212E-002,-5.6664491E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.5532970E+000, 4.4980021E+000, 2.1827155E-004, 2.1827155E-004
 1.9085608E+001, 6.1248803E+000,-1.3196014E+000, 2.4421528E-002,-3.4113380E-002,-6.0052092E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 4.8231932E+000, 4.7949865E+000, 2.3137380E-004, 2.3137380E-004
 2.0004166E+001, 6.4509409E+000,-1.3865714E+000, 3.8234816E-002,-3.5565800E-002,-6.3105745E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.0795912E+000, 5.0664074E+000, 2.4318567E-004, 2.4318567E-004
 2.1024788E+001, 6.7671593E+000,-1.4506693E+000, 1.0782994E-002,-3.6940501E-002,-6.6209812E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.3284548E+000, 5.2896703E+000, 2.5519607E-004, 2.5519607E-004
 2.2045408E+001, 7.1074704E+000,-1.5213169E+000, 4.3321041E-002,-3.8429620E-002,-6.9440157E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.6028054E+000, 5.5903505E+000, 2.6770276E-004, 2.6770276E-004
 2.3066029E+001, 7.4488359E+000,-1.5912639E+000, 6.1148113E-002,-4.0067822E-002,-7.2745774E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 5.8847025E+000, 5.8779248E+000, 2.8050723E-004, 2.8050723E-004
 2.4086649E+001, 7.7931342E+000,-1.6639511E+000, 3.7035125E-003,-4.1768773E-002,-7.6050352E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.1746748E+000, 6.0903573E+000, 2.9331170E-004, 2.9331170E-004
 2.5005207E+001, 8.1094746E+000,-1.7219048E+000, 6.3217132E-002,-4.3489044E-002,-7.9080542E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.4401656E+000, 6.4065071E+000, 3.0505740E-004, 3.0505740E-004
 2.6025829E+001, 8.4339270E+000,-1.7852368E+000, 9.5616033E-002,-4.5448141E-002,-8.2193999E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.6948465E+000, 6.6980362E+000, 3.1713397E-004, 3.1713397E-004
 2.7046450E+001, 8.7762296E+000,-1.8628062E+000,-5.1004989E-003,-4.8136989E-002,-8.5493322E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 6.9503309E+000, 6.8593310E+000, 3.2993844E-004, 3.2993844E-004
